Respondent ID,Age,Gender,Favorite Toy,Play Frequency,Play Context,Toy Discovery,Seasonal Interest,Digital vs. Physical,Character Connection,New Toy Interest,Play Duration,Play Space,Purchase Decision Factors,Purchase Channels,Budget Allocation (£/yr),Advertising Impact Channels,Developmental Benefits,Brand Perceptions,Sustainability Importance,Digital Balance,Long-Term Value,Trend Awareness Sources
R231,4,Female,Fisher-Price Piano,Daily,Family play,Store display,Seasonal,Mix of both,Sonic the Hedgehog,Cocomelon Set,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",300,"In-store displays, YouTube","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,High (5),"Instagram, Parent forums"
R232,8,Female,LOL Surprise,Daily,Solo play,Store display,Occasion-based,Digital mostly,Paw Patrol,Play-Doh,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",100,"YouTube, TV","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Parent forums, YouTube"
R233,9,Female,Barbie Doll,Less often,Peer play,YouTube ad,Seasonal,Digital mostly,Paw Patrol,Cocomelon Set,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",350,"Parent forums, Social media","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Newsletters, Parent forums"
R234,7,Male,Hot Wheels,Weekly,Mixed,Gift from friend,Occasion-based,Physical only,Spider-Man,Play-Doh,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",250,"Parent forums, In-store displays","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Teachers, Instagram"
R235,3,Male,Nintendo Switch,Several times/week,Solo play,Store display,Occasion-based,Mix of both,Paw Patrol,LEGO Minecraft,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",200,"YouTube, In-store displays","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Parent forums, YouTube"
R236,2,Female,Nintendo Switch,Several times/week,Family play,YouTube ad,Seasonal,Mix of both,Minions,LOL Surprise,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",200,"Social media, TV","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,High (5),"Teachers, Parent forums"
R237,8,Female,Hot Wheels,Several times/week,Mixed,Gift from friend,Seasonal,Digital mostly,Minions,Transformers,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",350,"TV, Parent forums","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Teachers, Newsletters"
R238,3,Female,Barbie Doll,Daily,Peer play,Store display,Seasonal,Physical only,Sonic the Hedgehog,Fisher-Price Piano,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Amazon",250,"YouTube, In-store displays","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Newsletters, YouTube"
R239,9,Female,Hot Wheels,Less often,Peer play,Social media,Occasion-based,Physical only,Sonic the Hedgehog,Play-Doh,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",250,"In-store displays, TV","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"YouTube, Parent forums"
R240,2,Male,Barbie Doll,Less often,Solo play,YouTube ad,Occasion-based,Digital mostly,Spider-Man,Transformers,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",150,"TV, In-store displays","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Newsletters, Instagram"
R241,4,Male,Hot Wheels,Several times/week,Family play,Store display,Occasion-based,Physical only,Paw Patrol,LOL Surprise,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Amazon",200,"Social media, Parent forums","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Teachers, Instagram"
R242,3,Male,Fisher-Price Piano,Weekly,Solo play,TV ad,Seasonal,Physical only,Sonic the Hedgehog,Fisher-Price Piano,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",300,"YouTube, Social media","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Newsletters, Parent forums"
R243,7,Female,LOL Surprise,Daily,Mixed,YouTube ad,Seasonal,Digital mostly,Paw Patrol,Nintendo Switch,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",200,"TV, Social media","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Teachers, YouTube"
R244,4,Male,Nintendo Switch,Several times/week,Peer play,Store display,Occasion-based,Digital mostly,Minions,Fisher-Price Piano,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",200,"Parent forums, TV","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"Newsletters, Teachers"
R245,3,Female,Transformers,Weekly,Mixed,Gift from friend,Occasion-based,Digital mostly,Paw Patrol,Play-Doh,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",150,"TV, Parent forums","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Parent forums, Teachers"
R246,8,Female,LEGO Minecraft,Daily,Family play,Store display,Occasion-based,Digital mostly,Minions,Transformers,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",200,"Parent forums, YouTube","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,High (5),"Parent forums, Newsletters"
R247,2,Male,Nintendo Switch,Weekly,Mixed,Social media,Weather-dependent,Physical only,Elsa (Frozen),LEGO Minecraft,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Tesco",100,"YouTube, Social media","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Teachers, Newsletters"
R248,9,Male,Nintendo Switch,Less often,Solo play,YouTube ad,Occasion-based,Physical only,Paw Patrol,Cocomelon Set,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Argos",250,"YouTube, Parent forums","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Parent forums, YouTube"
R249,6,Female,Hot Wheels,Several times/week,Mixed,TV ad,Seasonal,Mix of both,Spider-Man,Transformers,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",250,"YouTube, TV","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Teachers, Instagram"
R250,8,Female,Fisher-Price Piano,Weekly,Mixed,TV ad,Occasion-based,Mix of both,Bluey,Cocomelon Set,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",100,"Social media, TV","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,High (5),"Parent forums, Newsletters"
R251,6,Male,LEGO Minecraft,Daily,Peer play,TV ad,Seasonal,Physical only,Bluey,LEGO Minecraft,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Argos",350,"Parent forums, Social media","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Medium (3),"Teachers, Newsletters"
R252,4,Male,LOL Surprise,Several times/week,Family play,Social media,Weather-dependent,Digital mostly,Mario,Cocomelon Set,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",150,"Social media, Parent forums","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"Teachers, Parent forums"
R253,9,Female,Play-Doh,Daily,Family play,TV ad,Seasonal,Physical only,Spider-Man,Barbie Doll,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",350,"In-store displays, TV","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,Medium (3),"YouTube, Instagram"
R254,7,Male,LOL Surprise,Daily,Family play,Social media,Weather-dependent,Digital mostly,Sonic the Hedgehog,Barbie Doll,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",250,"Parent forums, In-store displays","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Low (1),"YouTube, Teachers"
R255,3,Male,LEGO Minecraft,Less often,Mixed,YouTube ad,Seasonal,Mix of both,Peppa Pig,Cocomelon Set,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Tesco",300,"Social media, Parent forums","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Teachers, YouTube"
R256,3,Male,LEGO Minecraft,Daily,Family play,Gift from friend,Seasonal,Mix of both,Bluey,Nintendo Switch,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",100,"Parent forums, YouTube","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"YouTube, Parent forums"
R257,5,Male,Cocomelon Set,Weekly,Peer play,TV ad,Seasonal,Mix of both,Mario,Fisher-Price Piano,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Argos",300,"In-store displays, YouTube","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"YouTube, Teachers"
R258,3,Female,Play-Doh,Less often,Solo play,TV ad,Weather-dependent,Digital mostly,Bluey,LOL Surprise,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",200,"In-store displays, YouTube","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Teachers, YouTube"
R259,3,Female,Play-Doh,Daily,Solo play,Gift from friend,Occasion-based,Mix of both,Peppa Pig,Barbie Doll,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Argos",250,"In-store displays, Social media","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Medium (3),"Parent forums, Newsletters"
R260,4,Male,Play-Doh,Daily,Family play,Store display,Year-round,Digital mostly,Paw Patrol,LOL Surprise,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",100,"Parent forums, Social media","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Low (1),"Parent forums, Instagram"
R261,3,Female,LOL Surprise,Daily,Family play,Social media,Seasonal,Physical only,Peppa Pig,LEGO Minecraft,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",250,"Parent forums, YouTube","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Newsletters, Instagram"
R262,3,Female,Fisher-Price Piano,Less often,Family play,Social media,Weather-dependent,Physical only,Paw Patrol,Barbie Doll,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",200,"In-store displays, TV","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Teachers, Instagram"
R263,9,Male,Cocomelon Set,Weekly,Family play,YouTube ad,Seasonal,Digital mostly,Spider-Man,Cocomelon Set,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",150,"Social media, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"YouTube, Teachers"
R264,6,Female,LEGO Minecraft,Several times/week,Solo play,Gift from friend,Year-round,Digital mostly,Mario,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",350,"Social media, Parent forums","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Low (1),"Parent forums, Teachers"
R265,7,Female,Fisher-Price Piano,Less often,Solo play,Social media,Seasonal,Digital mostly,Bluey,LEGO Minecraft,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",200,"Social media, In-store displays","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Medium (3),"YouTube, Parent forums"
R266,9,Male,Cocomelon Set,Several times/week,Peer play,Store display,Year-round,Physical only,Paw Patrol,LOL Surprise,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Smyths",100,"TV, In-store displays","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Low (1),"Newsletters, YouTube"
R267,6,Female,Transformers,Less often,Solo play,Store display,Seasonal,Physical only,Paw Patrol,Fisher-Price Piano,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Argos",300,"Parent forums, Social media","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Medium (3),"Instagram, Parent forums"
R268,7,Female,Cocomelon Set,Daily,Family play,Social media,Year-round,Digital mostly,Spider-Man,Barbie Doll,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"Parent forums, Social media","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"Parent forums, Newsletters"
R269,7,Male,LEGO Minecraft,Daily,Solo play,TV ad,Occasion-based,Mix of both,Mario,LEGO Minecraft,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",350,"In-store displays, YouTube","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Newsletters, Parent forums"
R270,6,Male,Cocomelon Set,Daily,Family play,Gift from friend,Seasonal,Mix of both,Elsa (Frozen),Barbie Doll,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",300,"Parent forums, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Newsletters, Instagram"
R271,8,Female,Nintendo Switch,Daily,Peer play,Store display,Weather-dependent,Physical only,Spider-Man,Play-Doh,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",100,"Parent forums, Social media","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,Medium (3),"Teachers, Newsletters"
R272,3,Female,Transformers,Several times/week,Peer play,Store display,Weather-dependent,Mix of both,Peppa Pig,Cocomelon Set,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",100,"Social media, YouTube","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"YouTube, Instagram"
R273,6,Male,Cocomelon Set,Less often,Solo play,Social media,Year-round,Digital mostly,Elsa (Frozen),Barbie Doll,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",100,"In-store displays, Social media","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Teachers, Parent forums"
R274,3,Male,LOL Surprise,Several times/week,Solo play,Store display,Seasonal,Physical only,Sonic the Hedgehog,LOL Surprise,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",350,"Parent forums, YouTube","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Teachers, Instagram"
R275,3,Male,Transformers,Weekly,Mixed,TV ad,Year-round,Digital mostly,Bluey,Fisher-Price Piano,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",200,"Social media, YouTube","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,High (5),"Instagram, Parent forums"
R276,3,Female,Transformers,Less often,Peer play,Social media,Weather-dependent,Mix of both,Minions,LEGO Minecraft,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",100,"Social media, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"Instagram, YouTube"
R277,5,Male,Cocomelon Set,Less often,Mixed,YouTube ad,Year-round,Physical only,Bluey,LOL Surprise,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",350,"Social media, Parent forums","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Parent forums, Teachers"
R278,7,Male,Hot Wheels,Less often,Solo play,YouTube ad,Weather-dependent,Mix of both,Peppa Pig,Barbie Doll,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",350,"Parent forums, In-store displays","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,High (5),"Parent forums, Newsletters"
R279,7,Female,Play-Doh,Several times/week,Solo play,Gift from friend,Occasion-based,Digital mostly,Bluey,LEGO Minecraft,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",300,"In-store displays, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Newsletters, YouTube"
R280,5,Male,Transformers,Several times/week,Family play,Social media,Occasion-based,Digital mostly,Paw Patrol,LEGO Minecraft,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",250,"In-store displays, Parent forums","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Teachers, Parent forums"
R281,2,Male,LEGO Minecraft,Less often,Family play,Gift from friend,Seasonal,Physical only,Peppa Pig,Barbie Doll,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Smyths",250,"In-store displays, Parent forums","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"Parent forums, Instagram"
R282,3,Female,Hot Wheels,Several times/week,Mixed,Gift from friend,Occasion-based,Digital mostly,Sonic the Hedgehog,Nintendo Switch,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",250,"YouTube, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,Medium (3),"Instagram, YouTube"
R283,3,Female,Play-Doh,Weekly,Mixed,Social media,Year-round,Mix of both,Minions,Transformers,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Smyths",350,"TV, Social media","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Medium (3),"Parent forums, Newsletters"
R284,7,Female,Play-Doh,Several times/week,Mixed,Gift from friend,Seasonal,Digital mostly,Elsa (Frozen),Fisher-Price Piano,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",200,"In-store displays, YouTube","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Parent forums, Newsletters"
R285,6,Male,Fisher-Price Piano,Weekly,Family play,YouTube ad,Seasonal,Digital mostly,Peppa Pig,Play-Doh,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",350,"Social media, TV","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Parent forums, YouTube"
R286,7,Female,Hot Wheels,Daily,Solo play,YouTube ad,Seasonal,Digital mostly,Bluey,Barbie Doll,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",250,"TV, Parent forums","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"Instagram, Teachers"
R287,5,Female,Barbie Doll,Weekly,Peer play,Store display,Seasonal,Physical only,Mario,Fisher-Price Piano,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Tesco",300,"Social media, YouTube","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Newsletters, Parent forums"
R288,9,Male,Play-Doh,Daily,Solo play,Gift from friend,Seasonal,Physical only,Bluey,LEGO Minecraft,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",200,"YouTube, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Teachers, YouTube"
R289,4,Female,Cocomelon Set,Several times/week,Peer play,TV ad,Seasonal,Mix of both,Mario,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",150,"Social media, TV","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"YouTube, Teachers"
R290,5,Female,Hot Wheels,Weekly,Mixed,Gift from friend,Year-round,Digital mostly,Minions,Transformers,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",100,"Social media, Parent forums","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Low (1),"Newsletters, Parent forums"
R291,4,Male,Transformers,Weekly,Mixed,YouTube ad,Seasonal,Mix of both,Mario,Fisher-Price Piano,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",300,"In-store displays, TV","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"YouTube, Newsletters"
R292,7,Female,Transformers,Several times/week,Mixed,Social media,Occasion-based,Digital mostly,Paw Patrol,Hot Wheels,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",150,"TV, In-store displays","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"Parent forums, Teachers"
R293,2,Female,LEGO Minecraft,Daily,Mixed,Social media,Seasonal,Physical only,Spider-Man,Transformers,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",250,"YouTube, In-store displays","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"YouTube, Newsletters"
R294,2,Male,LEGO Minecraft,Several times/week,Solo play,TV ad,Year-round,Digital mostly,Minions,Nintendo Switch,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",300,"YouTube, In-store displays","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Low (1),"Instagram, Newsletters"
R295,5,Male,Play-Doh,Weekly,Mixed,YouTube ad,Weather-dependent,Mix of both,Paw Patrol,Barbie Doll,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",350,"In-store displays, YouTube","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Low (1),"Parent forums, Newsletters"
R296,3,Male,Play-Doh,Weekly,Mixed,Social media,Weather-dependent,Physical only,Elsa (Frozen),LOL Surprise,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",200,"Social media, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Teachers, Newsletters"
R297,3,Male,Nintendo Switch,Several times/week,Solo play,Store display,Year-round,Digital mostly,Spider-Man,Fisher-Price Piano,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",150,"TV, In-store displays","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Instagram, Teachers"
R298,5,Male,Barbie Doll,Daily,Peer play,Social media,Occasion-based,Digital mostly,Mario,LOL Surprise,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",100,"In-store displays, Parent forums","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Newsletters, YouTube"
R299,7,Female,Cocomelon Set,Less often,Peer play,YouTube ad,Occasion-based,Mix of both,Peppa Pig,Hot Wheels,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",250,"In-store displays, Social media","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Low (1),"Instagram, Parent forums"
R300,5,Female,Barbie Doll,Weekly,Family play,Store display,Occasion-based,Physical only,Paw Patrol,LOL Surprise,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Argos",200,"Social media, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Parent forums, Newsletters"
R301,7,Female,Nintendo Switch,Less often,Solo play,Social media,Occasion-based,Physical only,Bluey,Nintendo Switch,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",200,"TV, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,High (5),"YouTube, Newsletters"
R302,4,Male,LOL Surprise,Several times/week,Mixed,YouTube ad,Weather-dependent,Physical only,Minions,Fisher-Price Piano,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"Parent forums, Social media","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,High (5),"Newsletters, Teachers"
R303,3,Male,Play-Doh,Less often,Mixed,Social media,Seasonal,Physical only,Paw Patrol,Transformers,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",300,"TV, Social media","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Medium (3),"Newsletters, Instagram"
R304,4,Male,Nintendo Switch,Weekly,Mixed,Social media,Year-round,Mix of both,Sonic the Hedgehog,Barbie Doll,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",150,"Social media, TV","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Teachers, Newsletters"
R305,9,Male,Nintendo Switch,Several times/week,Peer play,Gift from friend,Year-round,Digital mostly,Spider-Man,LEGO Minecraft,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Smyths",100,"In-store displays, TV","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Teachers, Newsletters"
R306,4,Female,Barbie Doll,Several times/week,Solo play,YouTube ad,Year-round,Digital mostly,Bluey,LEGO Minecraft,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",300,"TV, In-store displays","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Parent forums, YouTube"
R307,5,Male,LOL Surprise,Less often,Peer play,Store display,Occasion-based,Digital mostly,Elsa (Frozen),LEGO Minecraft,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",300,"Parent forums, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Instagram, Newsletters"
